Provincia,Partido,Localidad,Link Indec,ADSL_x,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Población,Latitud,Longitud,Total general
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,756,4600,0,3,0,742,0,726,23408.0,-35.4339385892588,-60.1731209454056,6827
BUENOS AIRES,25 de Mayo,Del Valle,6854020,181,0,0,0,10,1,0,0,899.0,-35.8973453887603,-60.7316089512944,192
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,0,0,0,0,0,0,0,181,547.0,-35.1643973648093,-60.0813577815069,181
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,0,782,0,496,16,0,0,185,4524.0,-35.2727788695321,-59.7719327250509,1479
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,0,0,0,0,0,0,0,6,63.0,-35.4838272164734,-59.9880647932831,6
BUENOS AIRES,25 de Mayo,Ernestina,6854030,75,0,0,0,0,0,0,0,145.0,-35.2702340519789,-59.5575034078873,75
BUENOS AIRES,25 de Mayo,Pedernales,6854070,154,0,0,25,21,0,0,7,1432.0,-35.2666085074294,-59.6306574695384,207
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,0,0,0,0,0,0,0,19,219.0,-35.607730780146,-60.9182929927645,19
BUENOS AIRES,9 de Julio,9 de Julio,6588100,4241,3556,80,6237,0,0,0,831,36494.0,-35.4447435053964,-60.8843433362719,14945
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,450,0,0,0,60,0,0,0,,,,510
BUENOS AIRES,9 de Julio,Dudignac,6588040,0,0,0,0,0,0,0,474,2670.0,-35.6511928511123,-60.7098962799094,474
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,193,0,0,2,2,0,0,0,,,,197
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,0,0,0,118,0,0,0,42,,,,160
BUENOS AIRES,9 de Julio,Patricios,6588110,81,0,0,0,0,0,0,50,745.0,-35.4395526972374,-60.7174384712323,131
BUENOS AIRES,9 de Julio,Morea,6588080,0,0,0,0,0,0,0,130,347.0,-35.5563880098445,-60.5605940553161,130
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,766,0,1,1417,1,0,0,1066,9660.0,-37.1774801030509,-62.7578962604015,3251
BUENOS AIRES,Adolfo Alsina,Maza,6007070,0,0,0,390,0,2,0,14,1748.0,-36.7999468137731,-63.3385151506224,406
BUENOS AIRES,Adolfo Alsina,Rivera,6007080,0,0,0,1253,0,0,0,0,3217.0,-37.1583546113813,-63.2442194943605,1253
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,0,0,0,208,0,0,0,0,563.0,-37.4486186469627,-63.117609405389,208
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,0,0,0,60,0,0,0,0,104.0,-37.4544378016288,-63.2565950033782,60
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,464,0,2,943,0,0,0,690,,,,2099
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,0,0,0,654,6,0,0,57,1625.0,-37.9635021758562,-60.415659383962,717
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,0,0,0,0,0,0,0,46,212.0,-37.8233871716044,-60.484639770555,46
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,0,0,0,0,0,0,0,14,43.0,-38.1766861391835,-60.1708487303777,14
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,335,0,6,1,0,0,0,2,,,,344
BUENOS AIRES,Alberti,Mechita,6021030,285,0,0,0,0,0,0,0,412.0,-35.068013673391,-60.4025971632697,285
BUENOS AIRES,Alberti,Coronel Seguí,6021020,0,0,0,0,0,0,0,5,146.0,-34.8681189984321,-60.3939708823404,5
BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),6021070,0,0,0,0,0,0,0,24,,,,24
BUENOS AIRES,Almirante Brown,Adrogué,6028010,86,9401,53,12087,2,1,0,26,30271.0,-34.8015580737331,-58.3914677191541,21656
BUENOS AIRES,Almirante Brown,Burzaco,6028010,39,16741,35,12073,6,2,0,309,92223.0,-34.8315415891783,-58.3986874871405,29205
BUENOS AIRES,Almirante Brown,Claypole,6028010,4,7725,3,3987,13,0,0,2,44098.0,-34.8044759080477,-58.3447825531042,11734
BUENOS AIRES,Almirante Brown,Don Orione,6028010,0,5756,0,0,0,0,0,1,46366.0,-34.8210751643113,-58.3447457989957,5757
BUENOS AIRES,Almirante Brown,Glew,6028010,11,9257,10,12012,12,0,0,54,61985.0,-34.8860114180413,-58.3818301842512,21356
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,0,7587,1,1606,2,0,0,1,43494.0,-34.7851442510713,-58.3681475603787,9197
BUENOS AIRES,Almirante Brown,Longchamps,6028010,16,9496,20,8223,4,0,0,1,51001.0,-34.8609450255718,-58.3891476922426,17760
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,1,4902,3,787,2,0,0,1,25844.0,-34.8189583169642,-58.4235610606239,5696
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,3,3650,4,4309,0,0,0,1,17928.0,-34.8556895005541,-58.3616465427911,7967
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,9,10897,14,10093,178,0,0,340,60422.0,-34.7911367513318,-58.350598184222,21531
BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,3,4414,4,4746,127,0,0,2,30355.0,-34.7866743578473,-58.3219363521574,9296
BUENOS AIRES,Almirante Brown,San Jose,6028010,2,9017,1,1166,0,3,0,1,48151.0,-34.7673771924196,-58.3432771404358,10190
BUENOS AIRES,Arrecifes,Arrecifes,6077010,773,1286,12,6903,0,1,0,1325,26400.0,-34.064591121211,-60.1025564443537,10300
BUENOS AIRES,Arrecifes,Todd,6077020,0,0,0,341,0,0,0,0,732.0,-34.0328240475348,-60.1562270065746,341
BUENOS AIRES,Arrecifes,Viña,6077030,50,0,0,0,0,0,0,30,464.0,-33.9922765156087,-60.2263211205477,80
BUENOS AIRES,Avellaneda,Avellaneda,6035010,903,8579,46,7418,72,8,0,79,25325.0,-34.6626508059016,-58.3656990232718,17105
BUENOS AIRES,Avellaneda,Crucesita,6035010,1,4848,0,3050,2,0,0,0,22745.0,-34.66910587351,-58.3574544412345,7901
BUENOS AIRES,Avellaneda,Dock Sud,6035010,11,632,0,1946,12,0,0,26,37392.0,-34.6491266928534,-58.3411774769137,2627
BUENOS AIRES,Avellaneda,Gerli,6035010,3,5769,0,4915,0,0,0,0,32384.0,-34.6847637540553,-58.3726025503412,10687
BUENOS AIRES,Avellaneda,Pineyro,6035010,9,5734,1,2738,0,0,0,0,28102.0,-34.6685497926645,-58.3886029123689,8482
BUENOS AIRES,Avellaneda,Sarandí,6035010,703,9600,60,13834,4,1,0,1,63281.0,-34.6843716640855,-58.348101313379,24203
BUENOS AIRES,Avellaneda,Villa Domínico,6035010,15,8495,2,7630,11,0,0,600,61273.0,-34.6986315148924,-58.3363602646664,16753
BUENOS AIRES,Avellaneda,Wilde,6035010,330,12072,62,16730,8,0,0,100,68624.0,-34.7061588356333,-58.3218349208501,29302
BUENOS AIRES,Ayacucho,Ayacucho,6042010,1834,0,2,0,0,0,0,142,17364.0,-37.1536695670417,-58.4895476662462,1978
BUENOS AIRES,Ayacucho,La Constancia,6042020,0,0,0,0,0,0,0,10,49.0,-37.2286256057071,-58.7603890048806,10
BUENOS AIRES,Ayacucho,Solanet,6042030,0,0,0,0,0,0,0,27,47.0,-36.8444984439739,-58.5071421689017,27
BUENOS AIRES,Ayacucho,Udaquiola,6042040,0,0,0,0,0,1,0,46,91.0,-36.5637513540211,-58.5333344196536,47
BUENOS AIRES,Azul,Azul,6049020,1692,14796,48,77,14,2,0,1145,55728.0,-36.7795144970313,-59.8586331707414,17774
BUENOS AIRES,Azul,Cacharí,6049030,0,0,2,0,0,0,0,521,2960.0,-36.3805626332947,-59.5030645507265,523
BUENOS AIRES,Azul,Chillar,6049040,0,0,0,0,0,1,0,565,3083.0,-37.3150113247344,-59.9853181679139,566
BUENOS AIRES,Bahía Blanca,Bahía Blanca,6056010,3774,104843,388,14178,64,8,0,2764,291327.0,-38.7114037284555,-62.2569089501864,126019
BUENOS AIRES,Bahía Blanca,Cabildo,6056020,0,193,4,210,2,0,0,66,2046.0,-38.4838572081944,-61.8926015349487,475
BUENOS AIRES,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),6056030,320,1619,1,2,0,0,0,15,,,,1957
BUENOS AIRES,Bahía Blanca,Ingeniero White,6056020,0,0,0,1,0,3,0,0,0.0,-38.7794670416666,-62.262951248824,4
BUENOS AIRES,Balcarce,Balcarce,6063010,1347,11787,36,45,9,0,0,883,38376.0,-37.8482779294345,-58.2551665841248,14107
BUENOS AIRES,Balcarce,Los Pinos,6063020,0,0,0,0,9,0,0,30,337.0,-37.9412057603,-58.3225920150442,39
BUENOS AIRES,Balcarce,Napaleofú,6063030,0,0,0,15,0,0,0,107,374.0,-37.6254980210026,-58.7461862359423,122
BUENOS AIRES,Balcarce,Ramos Otero,6063040,0,0,0,0,0,0,0,8,95.0,-37.5426353712017,-58.3407185507274,8
BUENOS AIRES,Balcarce,San Agustín,6063050,0,0,0,0,3,0,0,72,498.0,-38.0122838564587,-58.355377761682,75
BUENOS AIRES,Balcarce,Villa Laguna La Brava,6063060,0,0,0,0,0,0,0,42,115.0,-37.8596285282151,-57.9806008736401,42
BUENOS AIRES,Baradero,Baradero,6070010,1172,7356,0,10,0,2,0,827,28537.0,-33.8128781547156,-59.5043068852807,9367
